Samples	1	2	3	4	5	6	7	8	9	10-11	12-13	14-15	16-17	18-19	20-21	22-23	24-25	26-27	28-29	30-31	32-33	34-35	36-37	38-39	40-41	42-43	44-45	46-47	48-49	50-51	52-53	54-55	56-57	58-59	60-61	62-63	64-65	66-67	68-69	70-71	72-73	74-75	76-77	78-79	80-81	82-83	84-85	86-87	88-89	90-91	92-93	94-95	96-97	98-99	100-101	102-103	104-105	106-107	108-109	110-111	112-113	114-115	116-117	118-119	120-121	122-123	124-125	126
s124.STL.V02_1mo_R1	28.04754757273481	31.175246205449447	31.99569619089921	32.54420758056788	32.765804519108954	36.43770635637815	36.685231173843704	36.732078584447216	37.00694254513311	37.03836122677157	37.0594142268569	37.02983128280643	37.02011325122474	37.06763566188296	37.11263748886852	37.14655049809971	37.171056172694996	37.14106407139903	37.121067878530624	37.14554620304264	37.129764111001954	37.1182945800887	37.09630021344637	37.08946920823913	37.11205544624197	37.129419858298405	37.12744149951026	37.136807851477535	37.11737551950236	37.09021797149108	37.06407014334749	37.04007039119297	37.036241296681574	37.00215621467168	36.99935639377989	36.99071011120323	36.9721772721546	36.97669137533697	36.95890086391991	36.93693126585299	36.933141992752034	36.9136586844504	36.90465566399431	36.871485273744135	36.864914412087394	36.83619823791564	36.75429967276909	36.76405904996143	36.74688575810453	36.721343812140866	36.71263202387628	36.67508459868783	36.647763492815706	36.60653967917028	36.58791183868771	36.524973586794474	36.50231714277884	36.486262730694754	36.45602071049253	36.41411472541292	36.37030602937106	36.3263963250442	36.30483868909386	36.26856111696807	36.249384702556384	36.181686063832274	36.16234154473921	33.19148187115572
s107.STL.V05_4mo_R1	27.86946016367085	30.357529565740013	31.5724683643532	31.63733629915789	32.122664309816145	35.415685275763906	36.34556362916667	36.14822297039993	36.65960891969518	36.91905262997639	36.96118158506869	36.96004893368546	36.985899730408	37.02381864833776	37.07036069915461	37.103713370438406	37.12401554658294	37.09421887031081	37.07721110256463	37.096929762608006	37.08669431045839	37.08070090693778	37.06161999817887	37.05203052083675	37.07221670724651	37.07636686533688	37.06954937992621	37.06669123204576	37.052417700192315	37.0184029141911	36.996333521704344	36.96771661228232	36.956221979391216	36.92186450376103	36.925097980222226	36.911458634285076	36.890030512931524	36.89948373389643	36.881964004432646	36.85314895777991	36.84245719556953	36.821586431533134	36.813158433376934	36.7704834263465	36.74774846523171	36.73419092214571	36.642799457977155	36.65937324834262	36.62597036464173	36.60751947879871	36.586591539337896	36.55535259978432	36.525326825103114	36.47917994343389	36.45848030579904	36.39602849116315	36.372778885255826	36.35342648438664	36.31983177484129	36.28158137114033	36.24671500728749	36.20057358697078	36.17639770492862	36.14735375147172	36.13446734708382	36.07583505673829	36.095372791513206	34.06234419042971
s111.STL.V02_1mo_R1	25.81419609544897	30.274826057136394	31.345729986585464	32.196232541534854	32.5134019320717	35.911677712975894	36.21692551779449	36.24878287004358	36.67923139611844	36.73393119740089	36.79935649175317	36.796402400293495	36.78163707729847	36.85458059209321	36.91793322818457	36.98282635532607	37.006480557726704	36.996976428746606	36.98908520449797	37.0118152989705	37.00473616148544	37.00270997867197	36.99033347148507	36.9832184222529	37.000422790508225	37.01908777696494	37.01739480120537	37.01693536108769	37.00714341064634	36.97018666790208	36.946419662129	36.920273931244395	36.91039426622551	36.87457495018413	36.878525832354704	36.860774237977346	36.84127443380473	36.849856048663526	36.83304797899249	36.804158952079895	36.79195048924471	36.77047996545242	36.7574948702943	36.71445183898381	36.69215368804636	36.677227751390255	36.58665589810272	36.600829036749566	36.56647645892817	36.546128342663884	36.526842508529505	36.490698414646495	36.45821419250692	36.416288854182355	36.39669757929504	36.33439135959823	36.31516174475922	36.29325081944771	36.260822096182366	36.225524495488145	36.195014292164366	36.150684614041964	36.13084222003328	36.106425553037134	36.09914572760211	36.04746124040526	36.095705998402046	34.41440379037914
s224.STL.V05_4mo_R1	26.574087129803754	30.67785926336515	31.659294650538826	32.36874685020761	32.65223707522436	36.224257601158925	36.48706165601717	36.52322810788018	36.85793468835333	36.90041344319492	36.95478261756674	36.93502820785739	36.9247803391744	36.98018220337542	37.029811165482705	37.0772717101885	37.0961248286955	37.078241285149296	37.064670092189864	37.08472484161773	37.076780869665754	37.067504956353496	37.05189612376742	37.04332271531398	37.061293230165845	37.075177031336864	37.07326990552951	37.07157780054742	37.060557851981066	37.02343341401431	37.00103778345138	36.97467349812649	36.96718644545382	36.933039302431546	36.93587590779253	36.921277575181826	36.90263796992275	36.90902119758536	36.89536113680124	36.86638150514293	36.85496568677426	36.835615476656855	36.82679744776614	36.785163385238754	36.76800389161555	36.75275387975061	36.66429820862256	36.681736940645855	36.64866538956267	36.628665284955176	36.6113685947286	36.57505141796174	36.541971637354884	36.49960884081092	36.476995671230135	36.407991040359676	36.386061876697404	36.363936189020684	36.32382535732901	36.28454022721162	36.24782397861756	36.19648178680973	36.167823125081384	36.13407397354682	36.117073667471054	36.06204467761877	36.08585044299696	34.123809197067715
s185.STL.V05_4mo_R1	30.75177951061236	31.733053733773374	32.269758389954234	32.4415949475044	32.792189507059305	36.64536097228129	36.864279324798844	36.93048723366364	37.024605353936145	37.01426683521533	37.072784687449996	37.09412832179929	37.07457250501989	37.09924067121383	37.13107402548458	37.15118764717524	37.166633414547206	37.138757451122295	37.11545541510158	37.13221951120696	37.119590239645525	37.10223540227098	37.07797140306389	37.07214805273641	37.09529668916155	37.11581025265486	37.11372605000631	37.11523435011864	37.10299904313182	37.072476151998686	37.050764650239536	37.03049309162388	37.025566476330326	36.99135846823029	36.998454241654635	36.98828443922509	36.97193381839705	36.983983785598134	36.97200230892595	36.94401062306375	36.93756376083866	36.924431437081	36.920435292701846	36.88193182722339	36.86748377053688	36.85683780905471	36.77246429884949	36.79679273870824	36.76903525668866	36.75165830942723	36.7365422719442	36.705336609509295	36.6789773491609	36.637680266360256	36.61900410585885	36.557030825612784	36.53914566739702	36.52163174924222	36.489024083528754	36.451603007486845	36.41764089611462	36.36948358169204	36.34862598186274	36.31941016753113	36.30694203351845	36.24784478598549	36.264008054374216	34.186643655767924
s169.STL.V02_1mo_R1	31.306695501669665	32.02504238691098	31.655439585648537	32.01829643433697	32.16046269660715	35.202148156615756	36.363242193064615	36.289874118249394	36.66850155670976	36.807473492654296	36.85997059893249	36.934192355644825	36.94765265013292	36.988380377499695	37.03366697822858	37.066434083695505	37.088594539114155	37.06851291519863	37.06181950958499	37.08251194946021	37.069357378330736	37.07061974263537	37.058817051347454	37.05039794205996	37.066456841451924	37.069725726971775	37.06433664673827	37.06899122661045	37.05889638344482	37.03357240254572	37.01925853605851	36.99533853447875	36.992490492242105	36.96423546661791	36.96866941698701	36.95711821926891	36.93936626513152	36.948147183948244	36.934055126609614	36.9059040485594	36.89529184680652	36.87869054888132	36.870258392336176	36.82859393023948	36.812788269013545	36.798225326109154	36.70790483104826	36.72846495026165	36.69887465214067	36.681403791339044	36.66408536290665	36.63052611541505	36.600621732189886	36.56124305548352	36.54377386516817	36.48317711545562	36.464615699817465	36.45072819974588	36.420600510771365	36.3878663553221	36.35850455199761	36.31691388210679	36.29887339118395	36.277146625885095	36.26888602102365	36.2212623910726	36.252164868541726	34.54504809291599
s187.STL.V05_4mo_R1	29.47292360146689	28.880658044057018	30.831503566756385	31.89240174290336	32.441593797770075	36.378905538054454	36.44800889704946	36.90572919198347	37.068596130508496	37.108199543924606	37.14027366720703	37.16209300543726	37.169136167276825	37.17822476620667	37.19392143276989	37.207924866105316	37.21417880751599	37.18025290205455	37.166446098711724	37.18231852392757	37.16708345267986	37.165717524172074	37.14739494411808	37.136546441562146	37.154340971666386	37.151061074750274	37.14028046451142	37.1418087645994	37.13311189118792	37.10759038670201	37.09304654598536	37.06794651108231	37.06044744939845	37.028637616321795	37.03424505395928	37.02045806883983	37.00277251873192	37.01067909271972	36.99457132608704	36.96716503614013	36.95823151934027	36.941247136497275	36.93416224402461	36.89166393371953	36.87699892393224	36.86152340791911	36.77603266522626	36.79676166480668	36.76384810211503	36.742571844029655	36.72702121895611	36.6947863908258	36.6661842002491	36.62369407596796	36.60524308984212	36.542211126879735	36.520140617046586	36.50238761934796	36.468065931562464	36.431658124310324	36.393606810372646	36.3472494033262	36.32655413746024	36.29674206788054	36.28069632118847	36.226722911015045	36.24361245273721	34.261901186705586
s176.STL.V01_1.4d_R1	27.867954199164963	30.432513633187963	31.69670299798989	31.82160732126634	32.18043497440275	35.43130470860625	36.4060770516547	36.1888831396749	36.700419189233656	36.96041070053246	36.98449083291804	36.98816708434574	37.02393885273773	37.05622810761575	37.095165255459825	37.12896924276493	37.14700952117526	37.10977130580547	37.08871110040751	37.112647568678604	37.097026331665	37.09144667974944	37.066565033217906	37.05649052228645	37.07672254239823	37.08295626950323	37.074702805351826	37.07715378847188	37.062459274829784	37.029644603428615	37.006929625122794	36.98797781209246	36.973979532238936	36.94437536584404	36.95017080961564	36.93461287334824	36.91828291330207	36.930350636473214	36.908102062500646	36.88204929026889	36.87199058111752	36.86108214625476	36.85381825765994	36.80933074989355	36.79388632350346	36.7823378534601	36.69757416712579	36.71356035902385	36.68053592740894	36.66549480035414	36.64735816693501	36.60862662852519	36.5783057142001	36.53355834167945	36.50482174476557	36.447551462722934	36.42056682399573	36.40571823164996	36.369243438336255	36.33171024984416	36.29528555152434	36.23674893846496	36.212129762180645	36.18902735054821	36.16401133100716	36.10762525751056	36.12137930080392	34.11021132552089
s211.STL.V01_1.4d_R1	29.950360179054588	31.24887306143177	32.02427670931798	32.1126033572685	31.984221280379128	36.14266347730474	36.68402406676666	36.99568598407514	37.12581190992481	37.202693982177095	37.174202470128265	37.23752576256321	37.26754735914045	37.2756522159193	37.28234923390802	37.298453364652154	37.30020816935809	37.25829148663149	37.235753122922546	37.24557635018354	37.22808226654096	37.224209181159424	37.20312502754754	37.19693214009891	37.20768849053019	37.206316828335616	37.19714254268405	37.19795821894271	37.18723041597789	37.16046954286056	37.1489647828584	37.12341205828257	37.120301557358786	37.09303147264929	37.093785508452406	37.08631306490579	37.068307765141284	37.07670895615404	37.067426256050865	37.03579614985948	37.03513671310854	37.02306394875783	37.014026280264005	36.97848337714465	36.95731584904517	36.952308780126025	36.87249450492474	36.890813200225594	36.86392338660821	36.839808250399535	36.832342028447655	36.80146203298604	36.772805118493906	36.73897288443818	36.71346245969857	36.6593637851043	36.64041436960546	36.625386114405366	36.59756990433611	36.55865161350656	36.53055128450199	36.48481053193291	36.46668974386034	36.44806714618001	36.42766415490846	36.38618913026794	36.391119152791866	34.179328979354786
s272.STL.V01_1.4d_R1	27.67281452260191	31.05488010755044	31.893849078366852	32.482997413085926	32.73379722074938	36.393304556923326	36.65043040135336	36.70414883572406	36.98626690788977	37.012938068170016	37.04705825710754	37.024621977844255	37.01717829872696	37.06243612700713	37.10530517993897	37.14493086851222	37.16225957161296	37.14170890231349	37.12519641556132	37.144436653319566	37.13320498552435	37.12233934971404	37.102605480532844	37.09356667360365	37.11340511714938	37.12931430330015	37.125092269841645	37.12566224924719	37.11242645492035	37.079885331294214	37.05918983955803	37.03207847179692	37.02681361395343	36.99454006169138	37.00139134020637	36.985320871141674	36.967619935951156	36.976350536388395	36.96155704611871	36.936182762132795	36.92565779766226	36.907641196534534	36.89745635857868	36.86130885131765	36.846229738417655	36.83240986698488	36.74522370357156	36.76665422560328	36.73740053512174	36.71944050974293	36.701758737476055	36.66676455516318	36.63350327275082	36.59450290426899	36.57263148253145	36.50734457718676	36.48644428492828	36.46539929542878	36.42726227133936	36.39300300682007	36.35520534497425	36.30546401021813	36.274992596592455	36.245422291622894	36.22829945796988	36.169463205412974	36.18598146632776	34.076864345266195
