Samples	both_kept	dropped	false	fwd_only	input	rev_only	true
s325.STL.V05_4mo	2900438	22327	2899411	18850	2945453	3838	1027
s250.STL.V01_1.4d	3803363	58009	76848	17894	3882435	3169	3726515
s291.STL.V02_1mo	9138996	156955	9128980	87390	9399632	16291	10016
sNA.EnvironmentalBlank.5	90143	2418	73855	664	93358	133	16288
s105.STL.V01_1.4d	354301	978	354133	3495	359392	618	168
s305.STL.V01_1.4d	12674611	97687	37347	69945	12852156	9913	12637264
s250.STL.V02_1mo	6659374	32160	6647386	20747	6715173	2892	11988
sNA.MockDNA.6	10703029	38756	10701799	96545	10850277	11947	1230
s184.STL.V05_4mo	11510642	38115	11508540	101541	11666141	15843	2102
sNA.MockDNA.2	4537928	8829	4537414	35632	4587843	5454	514
s245.STL.V05_4mo	1590428	16101	1589481	11321	1620193	2343	947
s160.STL.V05_4mo	1999051	9565	1997437	16990	2029923	4317	1614
s173.STL.V02_1mo	10576720	122745	10573191	96151	10816010	20394	3529
s237.STL.V05_4mo	1531455	13436	1530904	10297	1557164	1976	551
s158.STL.V02_1mo.2	3552339	36353	3550908	29281	3623789	5816	1431
s277.STL.V02_1mo	4186495	11792	4185772	45113	4251012	7612	723
s319.STL.V02_1mo	3480670	23123	3475929	30228	3540978	6957	4741
s193.STL.V01_1.4d	6159730	31152	6153318	42785	6240848	7181	6412
s105.STL.V02_1mo	6897541	48340	6895563	54236	7010414	10297	1978
s107.STL.V05_4mo	9918321	77105	9779964	99666	10112863	17771	138357
s133.STL.V05_4mo	1788975	10388	1788109	15729	1816890	1798	866
s147.STL.V02_1mo	7048379	54530	7045725	64515	7182138	14714	2654
s309.STL.V01_1.4d	9561889	109056	9463774	76315	9764110	16850	98115
s295.STL.V02_1mo	2737013	29303	2735976	20205	2791362	4841	1037
s111.STL.V02_1mo	7498583	23769	7461150	84712	7624921	17857	37433
s185.STL.V01_1.4d	1247317	25308	95041	6361	1279949	963	1152276
s285.STL.V02_1mo	13329011	89726	13325853	96006	13535438	20695	3158
s262.STL.V05_4mo	5923226	22895	5921949	88499	6044043	9423	1277
s275.STL.V01_1.4d	12686532	39499	11868888	125718	12875664	23915	817644
s237.STL.V01_1.4d	3446899	21159	3444558	30744	3503131	4329	2341
s288.STL.V05_4mo	13686589	49580	13666496	88257	13839152	14726	20093
s207.STL.V05_4mo	6462115	31129	6455551	50580	6552864	9040	6564
s241.STL.V05_4mo	10749217	47668	10746448	97265	10911210	17060	2769
s277.STL.V05_4mo	7153034	76867	7150445	46793	7284754	8060	2589
s287.STL.V05_4mo	1738002	10866	1737191	15158	1766504	2478	811
s202.STL.V01_1.4d	12592115	88339	6996635	87698	12780508	12356	5595480
s186.STL.V01_1.4d	4109689	63115	16665	23602	4199821	3415	4093024
s104.STL.V05_4mo	9160235	31382	9148225	49767	9251423	10039	12010
s272.STL.V05_4mo	2820354	18588	2819285	20907	2863869	4020	1069
s192.STL.V05_4mo	6349173	41352	6282789	69273	6466727	6929	66384
s188.STL.V02_1mo	367328	4275	366949	2833	374917	481	379
sNA.EnvironmentalBlank.1	13072153	26323	13071251	93590	13208603	16537	902
sNA.MockDNA.4	4736447	32547	4735299	29945	4804656	5717	1148
s176.STL.V01_1.4d	838762	5868	837850	7484	853168	1054	912
s222.STL.V05_4mo	6471903	64897	6466150	39537	6583435	7098	5753
s224.STL.V01_1.4d	9369591	200295	98164	43293	9620451	7272	9271427
s125.STL.V01_1.4d	4286582	29378	3711083	20495	4340641	4186	575499
s248.STL.V02_1mo	2217988	9884	2210862	20237	2251243	3134	7126
s107.STL.V02_1mo	9637401	33208	9633979	67164	9752310	14537	3422
s231.STL.V02_1mo	3553055	24280	3552311	25449	3609016	6232	744
sNA.EnvironmentalBlank.3	44266	1716	35563	466	46544	96	8703
s117.STL.V01_1.4d	2994614	45986	1926918	19440	3065009	4969	1067696
s210.STL.V01_1.4d	6663784	49753	80824	36036	6755023	5450	6582960
s231.STL.V01_1.4d	10193057	150394	47911	57228	10409979	9300	10145146
s230.STL.V01_1.4d	12602716	251798	56195	74437	12939391	10440	12546521
s262.STL.V01_1.4d	1472513	31864	17857	7556	1513144	1211	1454656
s186.STL.V05_4mo	7923855	49580	7921969	51119	8034544	9990	1886
s272.STL.V01_1.4d	4860231	38592	4858697	28294	4932855	5738	1534
s222.STL.V02_1mo	5985611	41901	5618759	33546	6065617	4559	366852
s176.STL.V02_1mo	8162622	81885	8160362	59898	8314832	10427	2260
s302.STL.V01_1.4d	5069624	138028	36611	24452	5236253	4149	5033013
s200.STL.V05_4mo	2591265	13641	2588934	14196	2622229	3127	2331
s158.STL.V05_4mo	3423575	30703	3418349	22414	3480928	4236	5226
s235.STL.V02_1mo	4762738	25610	3390122	27424	4820154	4382	1372616
s331.STL.V02_1mo	7924048	96535	7921447	54761	8086381	11037	2601
s149.STL.V01_1.4d	4660836	74973	21355	24116	4763800	3875	4639481
s231.STL.V05_4mo	220027	2081	219427	1973	224378	297	600
s325.STL.V01_1.4d	5478189	20098	5427246	33165	5539525	8073	50943
s189.STL.V02_1mo	4825931	15966	4823866	57403	4909385	10085	2065
s210.STL.V05_4mo	6933142	48256	6897159	43910	7033273	7965	35983
s309.STL.V05_4mo	9052682	69126	8380703	71119	9208875	15948	671979
s265.STL.V01_1.4d	817907	8602	4880	5041	832261	711	813027
s200.STL.V01_1.4d	14988670	355067	94996	78877	15434129	11515	14893674
s208.STL.V02_1mo	8113055	56685	8067875	53311	8231203	8152	45180
s187.STL.V02_1mo	4816593	25300	4814048	41924	4890428	6611	2545
sNA.NegativeControl.3	95449	1752	94842	1428	98984	355	607
s331.STL.V01_1.4d	3355736	40963	19016	19785	3419421	2937	3336720
s327.STL.V02_1mo	6064193	36340	5917062	42854	6154131	10744	147131
s252.STL.V01_1.4d	4589632	150731	85020	21389	4765472	3720	4504612
s172.STL.V01_1.4d	1340842	30642	20382	7068	1379736	1184	1320460
s307.STL.V02_1mo	513944	1365	510742	6204	523152	1639	3202
s206.STL.V02_1mo	5757371	31153	5753975	49529	5846554	8501	3396
s302.STL.V05_4mo	13034622	69987	12851109	137759	13264027	21659	183513
s111.STL.V05_4mo	5616380	72431	5612999	42838	5740695	9046	3381
sNA.NegativeControl.9	16113	650	13518	532	17370	75	2595
s124.STL.V02_1mo	457037	3719	456682	2670	463897	471	355
s208.STL.V05_4mo	1763	175	1543	463	2432	31	220
s224.STL.V05_4mo	7351675	24767	7350006	57872	7448068	13754	1669
s147.STL.V01_1.4d	3162	126	2023	763	4078	27	1139
s185.STL.V05_4mo	6861718	57625	6859675	50655	6978118	8120	2043
s298.STL.V02_1mo	5382996	26587	5382136	39348	5455550	6619	860
sNA.NegativeControl.7	64401	2351	33137	762	67674	160	31264
s169.STL.V01_1.4d	2897768	7329	2896735	37288	2953280	10895	1033
s158.STL.V02_1mo	3065769	28145	3063807	23603	3123231	5714	1962
s188.STL.V01_1.4d	3078836	51914	2576845	16140	3149312	2422	501991
s261.STL.V05_4mo	10447875	61182	10440878	57356	10578722	12309	6997
s160.STL.V02_1mo	1907238	7279	1903895	18749	1935930	2664	3343
s262.STL.V02_1mo	1147244	4999	1146716	14854	1169705	2608	528
