SampleID	Genus	NumCoreGenes
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H03	5
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H12	3
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC10E12	1
s237.STL.V01_1.4d	Streptococcus Streptococcus sp. SR4	1
s237.STL.V01_1.4d	Streptococcus Streptococcus vestibularis	113
s241.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	1
s241.STL.V01_1.4d	Streptococcus Streptococcus agalactiae	139
s248.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	1
s248.STL.V01_1.4d	Enterobacter Enterobacter cloacae	2
s248.STL.V01_1.4d	Enterobacter Enterobacter hormaechei	3
s248.STL.V01_1.4d	Enterobacter Enterobacter kobei	3
s248.STL.V01_1.4d	Klebsiella Klebsiella sp. MS 92-3	1
s250.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	3
s250.STL.V01_1.4d	Escherichia Escherichia coli	2
s253.STL.V01_1.4d	Citrobacter Citrobacter koseri	1
s256.STL.V01_1.4d	Algoriphagus Algoriphagus machipongonensis	2
s256.STL.V01_1.4d	Bartonella Bartonella vinsonii	2
s256.STL.V01_1.4d	Burkholderia Burkholderia sp. LK4	2
s256.STL.V01_1.4d	Clostridium Clostridium sp. 7_2_43FAA	2
s256.STL.V01_1.4d	Colwellia Colwellia sp. PAMC 20917	1
s256.STL.V01_1.4d	Enterococcus Enterococcus faecalis	143
s256.STL.V01_1.4d	Ignavibacterium Ignavibacterium album	1
s256.STL.V01_1.4d	Lactobacillus Lactobacillus taiwanensis	2
s256.STL.V01_1.4d	Pectobacterium Pectobacterium carotovorum	2
s256.STL.V01_1.4d	Spiroplasma Spiroplasma turonicum	1
s256.STL.V01_1.4d	Streptococcus Streptococcus sp. I-P16	2
s257.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	31
s272.STL.V01_1.4d	Bacteroides Bacteroides dorei	109
s272.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_33FAA	22
s272.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_1_36	13
s272.STL.V01_1.4d	Bacteroides Bacteroides sp. 9_1_42FAA	9
s272.STL.V01_1.4d	Bacteroides Bacteroides sp. D20	20
s272.STL.V01_1.4d	Bacteroides Bacteroides uniformis	89
s272.STL.V01_1.4d	Bifidobacterium Bifidobacterium longum	121
s272.STL.V01_1.4d	Bifidobacterium Bifidobacterium sp. 12_1_47BFAA	16
s272.STL.V01_1.4d	Catenibacterium Catenibacterium mitsuokai	4
s272.STL.V01_1.4d	Escherichia Escherichia coli	142
s272.STL.V01_1.4d	Parabacteroides Parabacteroides distasonis	3
s272.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072G04	1
s272.STL.V01_1.4d	Veillonella Veillonella atypica	77
s272.STL.V01_1.4d	Veillonella Veillonella sp. ACP1	17
s272.STL.V01_1.4d	Veillonella Veillonella sp. HPA0037	10
s272.STL.V01_1.4d	Veillonella Veillonella sp. ICM51a	22
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex 'Hoffmann cluster IV'	75
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. 35618	10
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. 35651	1
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. 43444	6
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. GN02440	4
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. SMART_269	15
s275.STL.V01_1.4d	Enterobacter Enterobacter cloacae complex sp. SMART_454	1
s275.STL.V01_1.4d	Enterobacter Enterobacter sp. HMSC16D10	1
s275.STL.V01_1.4d	Escherichia Escherichia coli	16
s275.STL.V01_1.4d	Lelliottia Lelliottia nimipressuralis	26
s277.STL.V01_1.4d	Aggregatibacter Aggregatibacter sp. oral taxon 458	1
s277.STL.V01_1.4d	Algoriphagus Algoriphagus machipongonensis	2
s277.STL.V01_1.4d	Bacteria Proteobacteria Betaproteobacteria Nitrosomonadales beta proteobacterium KB13	1
s277.STL.V01_1.4d	Bartonella Bartonella vinsonii	2
s277.STL.V01_1.4d	Burkholderia Burkholderia sp. LK4	2
s277.STL.V01_1.4d	Candidatus Phytoplasma Candidatus Phytoplasma aurantifolia	1
s277.STL.V01_1.4d	Catenovulum Catenovulum agarivorans	1
s277.STL.V01_1.4d	Cetobacterium Cetobacterium ceti	2
s277.STL.V01_1.4d	Clostridium Clostridium saccharoperbutylacetonicum	1
s277.STL.V01_1.4d	Clostridium Clostridium sp. 7_2_43FAA	3
s277.STL.V01_1.4d	Clostridium Clostridium tyrobutyricum	2
s277.STL.V01_1.4d	Enterococcus Enterococcus canintestini	1
s277.STL.V01_1.4d	Enterococcus Enterococcus pallens	1
s277.STL.V01_1.4d	Flavobacterium Flavobacterium frigoris	1
s277.STL.V01_1.4d	Francisella Francisella tularensis	2
s277.STL.V01_1.4d	Haemophilus Haemophilus influenzae	1
s277.STL.V01_1.4d	Lactobacillus Lactobacillus taiwanensis	2
s277.STL.V01_1.4d	Leptospira interrogans	2
s277.STL.V01_1.4d	Paenibacillus Paenibacillus senegalimassiliensis	1
s277.STL.V01_1.4d	Pectobacterium Pectobacterium carotovorum	10
s277.STL.V01_1.4d	Pedobacter Pedobacter agri	1
s277.STL.V01_1.4d	Pedobacter Pedobacter sp. Hv1	6
s277.STL.V01_1.4d	Spiroplasma Spiroplasma turonicum	1
s277.STL.V01_1.4d	Thermodesulfovibrio Thermodesulfovibrio sp. N1	2
s277.STL.V01_1.4d	Virgibacillus Virgibacillus alimentarius	1
s277.STL.V01_1.4d	Virgibacillus Virgibacillus massiliensis	2
s283.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	2
s283.STL.V01_1.4d	Escherichia Escherichia coli	1
s285.STL.V01_1.4d	Enterococcus Enterococcus faecalis	55
s285.STL.V01_1.4d	Escherichia Escherichia coli	131
s285.STL.V01_1.4d	Escherichia Escherichia sp. 3_2_53FAA	10
s288.STL.V01_1.4d	Streptococcus Streptococcus thermophilus	5
s298.STL.V01_1.4d	Enterococcus Enterococcus faecalis	143
s298.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	122
s298.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC062B11	1
s298.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC072H01	13
s309.STL.V01_1.4d	Citrobacter Citrobacter koseri	20
s309.STL.V01_1.4d	Klebsiella Klebsiella pneumoniae	117
s309.STL.V01_1.4d	Klebsiella Klebsiella sp. 4_1_44FAA	5
s309.STL.V01_1.4d	Klebsiella Klebsiella sp. MS 92-3	2
s309.STL.V01_1.4d	Salmonella Salmonella sp. HMSC13B08	129
s319.STL.V01_1.4d	Enterococcus Enterococcus faecalis	142
s319.STL.V01_1.4d	Lactobacillus Lactobacillus crispatus	7
s322.STL.V01_1.4d	Cronobacter Cronobacter dublinensis	2
s322.STL.V01_1.4d	Cronobacter Cronobacter turicensis	15
s322.STL.V01_1.4d	Escherichia Escherichia coli	89
s322.STL.V01_1.4d	Escherichia Escherichia fergusonii	2
s322.STL.V01_1.4d	Shigella Shigella dysenteriae	2
s322.STL.V01_1.4d	Shigella Shigella flexneri	3
s322.STL.V01_1.4d	Shigella Shigella sp. SF-2015	1
s325.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	4
s325.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_3_47FAA	15
s325.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	121
s325.STL.V01_1.4d	Citrobacter Citrobacter koseri	54
s325.STL.V01_1.4d	Proteus Proteus mirabilis	133
s325.STL.V01_1.4d	Proteus Proteus sp. HMSC14B05	6
s325.STL.V01_1.4d	Salmonella Salmonella sp. HMSC13B08	87
s325.STL.V01_1.4d	Streptococcus Streptococcus equinus	1
s325.STL.V01_1.4d	Streptococcus Streptococcus gallolyticus	1
s325.STL.V01_1.4d	Veillonella Veillonella seminalis	138
s327.STL.V01_1.4d	Haemophilus Haemophilus sputorum	36
s327.STL.V01_1.4d	Streptococcus Streptococcus parasanguinis	2
s327.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC077D04	2
