SampleID	Genus	NumCoreGenes
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC065E07	1
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC068D05	2
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC072H01	22
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC077D09	2
s184.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC077E12	1
s184.STL.V01_1.4d	Streptococcus Streptococcus salivarius	9
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. ACS2	2
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. CCH8-H5	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC064H09	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC065H07	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC072G04	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC076C09	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H03	14
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC078H12	1
s184.STL.V01_1.4d	Streptococcus Streptococcus sp. HMSC10E12	1
s185.STL.V01_1.4d	Enterococcus Enterococcus faecium	130
s185.STL.V01_1.4d	Enterococcus Enterococcus sp. HMSC067C01	1
s187.STL.V01_1.4d	Enterococcus Enterococcus faecalis	144
s187.STL.V01_1.4d	Staphylococcus Staphylococcus epidermidis	129
s187.STL.V01_1.4d	Staphylococcus Staphylococcus lugdunensis	1
s187.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC034C12	1
s187.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC072H01	13
s187.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC075A04	1
s187.STL.V01_1.4d	Staphylococcus Staphylococcus sp. HMSC077G12	2
s188.STL.V01_1.4d	Enterococcus Enterococcus faecalis	139
s188.STL.V01_1.4d	Escherichia Escherichia coli	139
s188.STL.V01_1.4d	Streptococcus Streptococcus equinus	48
s188.STL.V01_1.4d	Streptococcus Streptococcus gallolyticus	9
s188.STL.V01_1.4d	Streptococcus Streptococcus lutetiensis	1
s188.STL.V01_1.4d	Streptococcus Streptococcus pasteurianus	81
s192.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	2
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. B1	1
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf111	8
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf125	1
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf465	5
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf88	3
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf89	3
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. Leaf94	2
s192.STL.V01_1.4d	Methylobacterium Methylobacterium sp. UNCCL110	2
s193.STL.V01_1.4d	Bacteroides Bacteroides dorei	104
s193.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_33FAA	10
s193.STL.V01_1.4d	Bacteroides Bacteroides sp. 3_1_40A	5
s193.STL.V01_1.4d	Bacteroides Bacteroides sp. 4_3_47FAA	3
s193.STL.V01_1.4d	Bacteroides Bacteroides sp. 9_1_42FAA	28
s193.STL.V01_1.4d	Bacteroides Bacteroides stercorirosoris	1
s193.STL.V01_1.4d	Bacteroides Bacteroides vulgatus	72
s193.STL.V01_1.4d	Bifidobacterium Bifidobacterium breve	28
